Asset_ID,Asset_Type,Acquisition_Date,Acquisition_Cost,Depreciation_Method,Depreciation_Rate,Book_Value,Useful_Life,Years_in_Service,Maintenance_Cost,Repair_Frequency,Condition_Score,Utilization_Percentage,Retired
A23674,Vehicle,2008-06-23,119275,Declining Balance,9,-55686.72,11,16,8060,0,6,25,1
A23675,Machine,2018-09-21,163913,Straight-Line,19,-24398.34,26,6,9935,0,7,20,0
A23676,Machine,2014-03-01,48477,Straight-Line,6,17621.72,25,10,3314,11,7,49,0
A23677,Machine,2017-02-23,74165,Straight-Line,17,-21932.52,20,7,15620,8,4,52,0
A23678,Building,2018-12-10,244365,Straight-Line,16,16523.09,25,5,5556,7,1,90,1
A23679,Machine,2015-11-07,197243,Declining Balance,16,-84279.5,9,8,4637,0,5,82,0
A23680,Building,2021-08-31,149489,Declining Balance,9,107763.14,14,3,4115,6,9,31,0
A23681,Furniture,2011-07-22,77753,Declining Balance,16,-86699.92,18,13,11132,3,1,1,1
A23682,Vehicle,2012-12-24,199587,Declining Balance,20,-271110.23,29,11,4870,6,1,91,1
A23683,Equipment,2019-08-29,88401,Declining Balance,15,20647.08,8,5,2565,3,1,87,1
A23684,Machine,2018-08-01,149431,Straight-Line,14,20011.47,9,6,17533,11,1,56,1
A23685,Equipment,2020-05-19,102627,Straight-Line,5,80119.35,14,4,7409,10,5,16,0
A23686,Machine,2012-06-12,132637,Declining Balance,17,-145293.84,22,12,15889,2,2,89,1
A23687,Building,2013-10-09,30946,Straight-Line,8,3713.52,19,11,11853,9,5,36,0
A23688,Vehicle,2010-02-07,41616,Declining Balance,16,-56073.28,5,14,14917,0,4,93,1
A23689,Machine,2008-03-06,162101,Declining Balance,11,-133846.57,27,16,18986,13,5,54,0
A23690,Equipment,2009-05-25,94454,Declining Balance,16,-137949.42,16,15,2089,4,3,14,1
A23691,Furniture,2004-10-18,175437,Declining Balance,13,-280261.81,13,19,19263,5,2,26,1
A23692,Furniture,2015-11-14,91959,Straight-Line,18,-55381.99,15,8,6110,5,4,41,0
A23693,Machine,2024-08-21,218006,Declining Balance,20,212511.05,18,0,214,4,8,36,0
A23694,Furniture,2017-10-29,101900,Declining Balance,16,-11289.96,25,6,18717,1,5,78,0
A23695,Equipment,2022-08-18,244396,Straight-Line,5,218282.45,26,2,1284,4,4,18,0
A23696,Vehicle,2018-04-18,49664,Straight-Line,13,7865.96,25,6,8203,12,4,51,0
A23697,Furniture,2007-11-17,26460,Declining Balance,18,-54024.8,19,16,19326,2,10,92,0
A23698,Machine,2024-06-12,121862,Declining Balance,18,114890.83,17,0,11610,12,5,24,0
A23699,Furniture,2023-07-26,122956,Declining Balance,12,105250.34,9,1,7619,12,1,31,1
A23700,Furniture,2016-03-26,213594,Straight-Line,11,13014.6,24,8,7432,9,8,42,0
A23701,Equipment,2010-05-30,162463,Straight-Line,13,-140915.51,21,14,14079,10,4,8,0
A23702,Building,2009-04-15,202747,Declining Balance,12,-174062.47,22,15,2907,11,6,28,0
A23703,Building,2017-10-11,16225,Declining Balance,16,-1925.66,8,6,3870,7,7,50,0
A23704,Vehicle,2008-12-24,157514,Declining Balance,9,-66393.23,27,15,8026,1,2,89,1
A23705,Machine,2019-10-08,19627,Straight-Line,9,10794.85,10,5,14097,3,7,11,0
A23706,Vehicle,2015-06-18,75718,Straight-Line,18,-51164.62,15,9,14812,2,7,75,0
A23707,Machine,2008-11-27,22359,Declining Balance,10,-13121.36,19,15,18398,7,4,93,0
A23708,Vehicle,2006-10-04,238375,Straight-Line,18,-534782.88,15,18,10674,4,9,4,1
A23709,Equipment,2024-07-20,203908,Straight-Line,20,195193.03,6,0,15050,10,3,13,1
A23710,Machine,2010-12-18,87831,Declining Balance,19,-142644.76,20,13,8888,3,2,19,1
A23711,Building,2010-01-17,217951,Declining Balance,11,-135165.45,30,14,19713,3,2,35,1
A23712,Furniture,2021-05-20,238969,Straight-Line,6,190455.02,25,3,12538,9,3,31,1
A23713,Vehicle,2010-03-19,93458,Straight-Line,14,-97068.3,23,14,1612,8,8,37,0
A23714,Equipment,2012-03-15,107800,Declining Balance,15,-95454.68,8,12,19362,4,3,97,1
A23715,Equipment,2015-08-23,97683,Declining Balance,18,-62827.56,11,9,8267,6,4,39,0
A23716,Machine,2005-10-28,129142,Declining Balance,15,-238010.48,6,18,4950,2,1,84,1
A23717,Machine,2008-06-03,31545,Straight-Line,15,-45835.32,14,16,17371,5,5,14,1
A23718,Vehicle,2007-05-09,86819,Declining Balance,20,-215739.27,29,17,11981,1,9,10,0
A23719,Equipment,2013-07-23,30656,Straight-Line,11,-7158.39,8,11,9678,5,5,79,1
A23720,Vehicle,2006-06-28,56102,Declining Balance,17,-118313.74,23,18,739,8,1,22,1
A23721,Building,2010-07-02,82834,Straight-Line,11,-47226.73,6,14,16759,3,7,39,1
A23722,Furniture,2023-08-02,173878,Declining Balance,11,151292.92,21,1,18823,0,8,90,0
A23723,Furniture,2013-12-31,180932,Straight-Line,15,-111434.28,28,10,14470,2,3,39,1
A23724,Equipment,2012-08-19,216173,Declining Balance,7,32473.33,29,12,10049,6,8,86,0
A23725,Vehicle,2014-09-16,139598,Straight-Line,12,-28975.19,29,10,14868,14,3,25,1
A23726,Machine,2019-11-21,66870,Straight-Line,14,21189.55,19,4,8781,15,1,96,1
A23727,Machine,2014-02-22,73998,Straight-Line,12,-20370.74,21,10,19805,13,10,73,0
A23728,Vehicle,2014-09-06,32289,Declining Balance,19,-29614.76,14,10,14374,5,1,40,1
A23729,Building,2017-07-21,207216,Straight-Line,9,72633.47,30,7,8946,0,5,99,0
A23730,Equipment,2016-09-25,77745,Straight-Line,18,-34706.22,7,8,4684,9,5,93,1
A23731,Equipment,2021-04-11,54771,Straight-Line,12,31830.2,22,3,2350,15,10,96,0
A23732,Building,2013-06-27,154929,Straight-Line,8,15059.95,24,11,12742,8,9,37,0
A23733,Furniture,2018-01-04,216159,Straight-Line,17,-32210.65,24,6,5529,4,5,63,0
A23734,Equipment,2015-10-21,19757,Straight-Line,6,9127.19,18,8,14027,1,7,11,0
A23735,Machine,2007-11-06,70614,Declining Balance,7,-13064.56,29,16,4463,10,7,95,0
A23736,Equipment,2020-03-20,146381,Declining Balance,14,53122.27,13,4,6120,15,8,26,0
A23737,Machine,2021-01-30,12644,Straight-Line,14,6121.08,12,3,2827,11,1,91,1
A23738,Building,2010-09-11,66149,Straight-Line,12,-45612.0,24,14,10625,12,1,40,1
A23739,Equipment,2019-07-15,37303,Declining Balance,9,19734.82,20,5,19934,11,3,49,1
A23740,Equipment,2006-01-10,25103,Straight-Line,18,-59622.72,11,18,9543,3,8,81,1
A23741,Machine,2007-07-19,176395,Declining Balance,11,-157929.1,27,17,17669,1,6,63,0
A23742,Building,2007-03-11,183449,Declining Balance,13,-235955.62,13,17,10928,5,9,75,1
A23743,Vehicle,2016-02-15,11771,Declining Balance,8,3628.69,26,8,9879,12,4,7,0
A23744,Vehicle,2011-11-10,61332,Straight-Line,6,13805.58,8,12,19868,13,8,38,1
A23745,Building,2023-09-14,167779,Straight-Line,14,142809.81,28,1,8928,12,10,54,0
A23746,Furniture,2010-01-21,184498,Straight-Line,13,-168504.8,22,14,17756,1,1,21,1
A23747,Equipment,2013-09-20,211407,Declining Balance,12,-68970.81,21,11,14677,0,6,95,0
A23748,Building,2020-02-08,189185,Declining Balance,8,118611.22,9,4,14701,0,5,9,0
A23749,Furniture,2023-12-07,85874,Straight-Line,18,72999.96,24,0,18630,0,10,50,0
A23750,Building,2006-01-12,225721,Declining Balance,14,-366645.11,19,18,19417,0,8,32,0
A23751,Building,2016-06-28,219195,Straight-Line,6,110306.13,14,8,9405,15,1,95,1
A23752,Vehicle,2008-11-06,55014,Straight-Line,12,-50124.54,7,15,3618,12,8,22,1
A23753,Vehicle,2006-06-24,168377,Declining Balance,15,-293783.27,8,18,13008,12,7,86,1
A23754,Furniture,2007-10-02,190806,Straight-Line,9,-101550.61,16,17,4475,5,8,49,1
A23755,Machine,2022-08-07,18177,Declining Balance,16,11874.31,6,2,5062,2,1,87,1
A23756,Vehicle,2006-02-09,143297,Declining Balance,11,-150968.3,7,18,17976,10,3,100,1
A23757,Building,2016-08-12,236917,Declining Balance,20,-149549.8,19,8,5429,9,1,100,1
A23758,Equipment,2006-03-22,40745,Straight-Line,11,-42422.8,23,18,18991,3,5,45,0
A23759,Building,2009-06-07,18758,Declining Balance,16,-27289.04,15,15,4687,11,6,78,0
A23760,Machine,2006-08-30,207669,Straight-Line,17,-431860.49,9,18,14805,10,1,39,1
A23761,Equipment,2008-02-14,167884,Declining Balance,7,-27841.15,7,16,19706,6,3,43,1
A23762,Building,2013-12-13,34436,Straight-Line,13,-14010.26,16,10,19230,10,4,26,0
A23763,Building,2009-04-11,138090,Declining Balance,6,9677.65,7,15,7677,8,2,27,1
A23764,Vehicle,2019-06-01,220377,Declining Balance,14,55208.97,14,5,17009,15,8,73,0
A23765,Vehicle,2016-03-09,153173,Straight-Line,6,74286.81,24,8,16400,4,7,77,0
A23766,Equipment,2006-01-03,155436,Straight-Line,12,-194665.49,30,18,6733,6,10,97,0
A23767,Vehicle,2013-08-08,96109,Declining Balance,9,-508.19,27,11,17028,8,1,86,1
A23768,Machine,2005-06-28,92243,Declining Balance,17,-210212.95,5,19,15430,2,1,66,1
A23769,Building,2023-08-20,64598,Declining Balance,8,58750.55,29,1,17621,11,8,47,0
A23770,Furniture,2017-11-17,71459,Straight-Line,7,36992.27,15,6,1963,5,4,61,0
A23771,Furniture,2021-05-18,101802,Declining Balance,11,63850.77,26,3,4754,11,5,14,0
A23772,Machine,2009-10-04,48353,Straight-Line,19,-89604.07,11,15,10074,3,4,58,1
A23773,Equipment,2018-02-13,173935,Straight-Line,16,-11112.78,10,6,3468,5,4,29,0
A23774,Vehicle,2006-08-03,81761,Declining Balance,14,-126440.59,9,18,12445,15,1,24,1
A23775,Machine,2006-05-21,13795,Straight-Line,11,-14113.61,24,18,16639,8,9,48,0
A23776,Vehicle,2011-12-06,203028,Straight-Line,6,46568.5,21,12,11448,7,10,35,0
A23777,Vehicle,2018-07-20,233119,Declining Balance,18,-27846.54,23,6,12530,2,5,34,0
A23778,Vehicle,2022-08-03,75645,Declining Balance,5,67406.95,25,2,17425,7,5,59,0
A23779,Building,2015-10-05,124362,Straight-Line,18,-77349.76,11,9,19548,14,3,47,1
A23780,Equipment,2011-06-02,81552,Declining Balance,18,-114507.95,11,13,1569,4,2,59,1
A23781,Vehicle,2019-10-17,154144,Straight-Line,8,92790.46,17,4,7517,15,6,24,0
A23782,Equipment,2006-12-30,145027,Declining Balance,8,-61268.94,18,17,17952,12,2,72,1
A23783,Equipment,2016-10-03,88922,Straight-Line,7,39040.41,7,8,15160,14,7,26,1
A23784,Building,2005-11-27,174925,Straight-Line,9,-122169.54,22,18,11828,12,10,36,0
A23785,Vehicle,2009-04-30,228355,Straight-Line,13,-230194.35,12,15,9940,5,10,68,1
A23786,Furniture,2024-02-02,175059,Straight-Line,5,169135.77,23,0,2919,15,9,74,0
A23787,Equipment,2016-06-09,26329,Declining Balance,8,8780.18,22,8,13816,11,3,57,1
A23788,Machine,2014-08-14,50309,Straight-Line,14,-21204.21,6,10,12217,14,8,63,1
A23789,Vehicle,2021-06-13,47884,Straight-Line,17,20876.11,27,3,594,10,3,6,1
A23790,Vehicle,2022-02-02,191457,Declining Balance,18,99211.44,11,2,7566,1,8,1,0
A23791,Machine,2009-12-02,201983,Declining Balance,20,-398100.19,7,14,14826,7,1,26,1
A23792,Furniture,2013-04-29,42052,Straight-Line,16,-34964.22,13,11,17220,5,6,59,0
A23793,Building,2020-03-13,83914,Declining Balance,7,57070.72,17,4,12671,2,8,52,0
A23794,Equipment,2010-07-23,113231,Straight-Line,12,-79937.98,8,14,18650,2,8,59,1
A23795,Machine,2005-05-16,175329,Straight-Line,15,-335022.5,14,19,9160,6,8,62,1
A23796,Machine,2008-04-02,170334,Straight-Line,14,-223692.88,29,16,17985,9,1,92,1
A23797,Machine,2008-08-20,84227,Declining Balance,13,-92495.09,27,16,12767,11,2,22,1
A23798,Equipment,2019-10-01,114429,Declining Balance,11,51251.65,19,5,17823,3,4,20,0
A23799,Building,2024-04-03,161301,Declining Balance,18,146505.5,29,0,96,9,7,69,0
A23800,Furniture,2011-04-30,14174,Straight-Line,11,-6791.09,30,13,1817,1,1,17,1
A23801,Building,2015-10-24,242229,Straight-Line,15,-83286.96,21,8,6719,3,1,1,1
A23802,Vehicle,2018-08-12,152218,Straight-Line,8,77251.68,13,6,165,6,8,87,0
A23803,Machine,2010-08-26,161795,Declining Balance,11,-89563.51,28,14,4779,9,8,82,0
A23804,Furniture,2023-03-29,29452,Straight-Line,9,25406.99,26,1,9583,1,5,59,0
A23805,Building,2010-09-26,135984,Straight-Line,15,-150364.77,5,14,6245,7,3,4,1
A23806,Machine,2016-06-22,239513,Declining Balance,5,140164.32,10,8,16762,6,8,30,0
A23807,Vehicle,2006-03-07,152535,Straight-Line,17,-329709.63,13,18,1572,4,10,46,1
A23808,Machine,2023-08-02,13854,Declining Balance,17,11072.95,30,1,18437,7,7,5,0
A23809,Building,2017-09-22,141837,Declining Balance,5,91883.17,27,7,5076,10,2,78,1
A23810,Building,2009-04-08,198340,Declining Balance,10,-109222.85,26,15,9046,14,5,8,0
A23811,Vehicle,2009-11-30,193087,Declining Balance,10,-93845.57,6,14,7234,4,6,4,1
A23812,Furniture,2006-03-20,220825,Straight-Line,10,-189062.5,25,18,2038,5,6,52,0
A23813,Vehicle,2007-01-16,130816,Straight-Line,13,-170774.02,12,17,2215,15,7,9,1
A23814,Building,2021-07-26,139905,Straight-Line,13,81704.52,11,3,10164,2,5,5,0
A23815,Building,2021-03-19,180037,Declining Balance,5,148049.6,18,3,9443,12,10,79,0
A23816,Building,2006-03-14,55262,Straight-Line,19,-139803.78,10,18,13017,2,3,5,1
A23817,Furniture,2010-08-27,133658,Declining Balance,17,-187187.11,17,14,11776,9,1,87,1
A23818,Vehicle,2022-02-09,225099,Declining Balance,10,165278.17,19,2,9327,8,9,39,0
A23819,Equipment,2011-02-21,87916,Straight-Line,10,-31938.8,11,13,11038,6,2,76,1
A23820,Furniture,2008-11-07,185503,Straight-Line,10,-109878.76,23,15,8298,14,2,21,1
A23821,Vehicle,2014-03-08,37482,Straight-Line,14,-18083.78,24,10,5829,2,10,65,0
A23822,Machine,2012-09-15,192452,Declining Balance,11,-62976.62,8,12,7551,11,9,61,1
A23823,Equipment,2024-10-05,113043,Straight-Line,13,113002.74,13,0,11426,5,4,8,0
A23824,Building,2010-09-06,123423,Straight-Line,7,1663.67,15,14,8334,10,1,65,1
A23825,Equipment,2007-02-17,230798,Declining Balance,13,-298665.26,28,17,4844,2,8,2,0
A23826,Furniture,2013-12-01,36082,Declining Balance,6,12582.24,29,10,7216,3,10,83,0
A23827,Machine,2013-10-29,90230,Straight-Line,7,21098.99,10,10,13071,7,6,30,0
A23828,Furniture,2005-11-07,77310,Straight-Line,15,-142165.68,24,18,17440,5,3,98,1
A23829,Equipment,2010-02-19,226125,Straight-Line,5,60620.09,15,14,3469,14,4,6,0
A23830,Building,2010-02-11,183432,Declining Balance,16,-246834.14,25,14,18930,5,2,84,1
A23831,Equipment,2007-08-23,10054,Straight-Line,14,-14063.48,15,17,2373,14,7,67,1
A23832,Vehicle,2012-02-07,23281,Declining Balance,16,-23918.84,18,12,2529,5,2,97,1
A23833,Building,2015-08-12,36942,Straight-Line,6,16641.11,14,9,19225,4,3,57,1
A23834,Equipment,2017-01-21,8168,Declining Balance,20,-4430.86,5,7,14170,15,10,26,1
A23835,Machine,2017-10-25,23040,Declining Balance,14,611.03,6,6,10981,7,5,66,0
A23836,Equipment,2023-05-10,10332,Straight-Line,20,7416.39,21,1,2014,3,3,77,1
A23837,Machine,2009-12-08,142541,Straight-Line,13,-132418.64,21,14,12744,13,8,46,0
A23838,Equipment,2017-02-21,52013,Straight-Line,16,-11462.81,26,7,7488,13,1,25,1
A23839,Vehicle,2011-09-17,249684,Straight-Line,20,-402641.1,29,13,4795,11,9,29,0
A23840,Building,2023-01-16,75744,Declining Balance,20,49638.26,20,1,11381,2,1,28,1
A23841,Machine,2017-12-20,246745,Straight-Line,6,146073.04,29,6,11711,13,9,3,0
A23842,Furniture,2011-07-19,30794,Straight-Line,17,-38451.16,29,13,6147,13,7,78,0
A23843,Machine,2021-04-21,202097,Declining Balance,11,125111.89,12,3,16918,9,7,20,0
A23844,Furniture,2006-05-07,74765,Straight-Line,14,-118145.09,20,18,19605,14,1,32,1
A23845,Vehicle,2005-10-12,195086,Straight-Line,11,-212584.95,13,18,3886,7,1,56,1
A23846,Furniture,2006-11-29,28304,Declining Balance,8,-12149.78,21,17,6968,8,10,98,0
A23847,Equipment,2006-11-20,206968,Declining Balance,15,-348443.39,24,17,1218,15,9,38,0
A23848,Vehicle,2019-01-06,237683,Declining Balance,10,100933.88,24,5,18975,10,8,48,0
A23849,Furniture,2014-08-11,140264,Declining Balance,19,-130545.43,6,10,15989,1,4,78,1
A23850,Equipment,2013-11-01,109953,Straight-Line,18,-106506.8,11,10,15187,12,7,26,0
A23851,Furniture,2010-09-19,106010,Declining Balance,5,31498.04,15,14,9339,1,9,78,0
A23852,Equipment,2024-06-15,97427,Declining Balance,10,94410.77,12,0,4799,9,4,27,0
A23853,Building,2022-02-20,53826,Straight-Line,11,38269.55,6,2,2724,7,9,8,0
A23854,Building,2013-02-25,244103,Declining Balance,14,-152975.67,5,11,15796,5,6,49,1
A23855,Machine,2017-10-11,139185,Straight-Line,12,22406.88,25,6,9117,5,4,24,0
A23856,Equipment,2012-07-18,211238,Straight-Line,13,-124537.82,12,12,19582,6,1,2,1
A23857,Machine,2013-09-13,193828,Declining Balance,7,43613.96,19,11,4154,1,7,65,0
A23858,Equipment,2024-04-07,42612,Straight-Line,15,39424.86,17,0,18821,14,1,45,1
A23859,Building,2021-03-15,5581,Declining Balance,20,1602.44,24,3,2940,0,9,32,0
A23860,Furniture,2019-10-28,175130,Straight-Line,6,123166.77,30,4,3237,2,1,71,1
A23861,Equipment,2023-08-04,31902,Declining Balance,5,30027.21,14,1,7825,9,3,13,1
A23862,Building,2019-07-21,68963,Declining Balance,16,11404.4,18,5,7359,9,5,11,0
A23863,Building,2019-05-16,193614,Declining Balance,13,57765.93,28,5,16767,12,1,53,1
A23864,Machine,2014-07-03,204082,Declining Balance,14,-89304.05,14,10,12652,7,1,42,1
A23865,Machine,2007-01-25,104927,Declining Balance,16,-192387.25,13,17,12177,14,4,1,1
A23866,Machine,2021-12-13,193410,Declining Balance,11,133489.99,19,2,4525,8,9,13,0
A23867,Vehicle,2020-02-20,17891,Declining Balance,9,10435.6,29,4,12097,10,4,100,0
A23868,Vehicle,2007-08-05,11480,Straight-Line,13,-14164.75,14,17,13752,9,1,39,1
A23869,Equipment,2007-09-27,64512,Straight-Line,14,-89372.98,30,17,12715,0,7,23,0
A23870,Building,2006-03-20,52223,Straight-Line,5,3755.76,22,18,7661,7,10,70,0
A23871,Building,2007-03-10,92824,Straight-Line,14,-135751.92,21,17,8665,1,6,1,0
A23872,Vehicle,2006-09-07,29507,Declining Balance,15,-50574.19,15,18,1094,9,6,80,1
A23873,Vehicle,2022-08-05,60427,Declining Balance,18,36795.9,27,2,13430,14,9,99,0
A23874,Equipment,2016-12-18,171441,Declining Balance,14,-15904.09,21,7,6228,11,5,92,0
A23875,Furniture,2005-02-12,125393,Declining Balance,16,-269048.72,5,19,5722,0,6,66,1
A23876,Furniture,2023-05-27,184707,Declining Balance,20,134304.76,16,1,19,5,5,75,0
A23877,Building,2012-03-23,151335,Straight-Line,17,-171485.36,5,12,15903,13,4,22,1
A23878,Furniture,2013-01-08,228333,Declining Balance,9,-13143.22,30,11,16479,12,5,42,0
A23879,Equipment,2015-09-28,238134,Straight-Line,10,23095.74,26,9,3418,10,10,66,0
A23880,Equipment,2014-10-11,29109,Straight-Line,18,-23258.49,25,9,8704,0,10,3,0
A23881,Machine,2005-02-12,222779,Declining Balance,7,-83813.73,12,19,1139,15,2,76,1
A23882,Furniture,2018-02-14,13551,Straight-Line,12,2742.87,21,6,18533,11,1,6,1
A23883,Vehicle,2011-06-05,98144,Straight-Line,19,-150759.94,12,13,7186,13,4,27,1
A23884,Furniture,2016-09-21,212594,Declining Balance,14,-26897.51,26,8,2441,8,5,94,0
A23885,Furniture,2009-09-18,73015,Declining Balance,14,-80932.63,27,15,7333,6,5,17,0
A23886,Equipment,2011-06-29,74088,Declining Balance,11,-34157.61,14,13,1546,4,6,14,0
A23887,Machine,2022-12-02,37753,Declining Balance,16,26598.8,6,1,18871,12,2,8,1
A23888,Furniture,2010-05-30,152464,Declining Balance,10,-66541.14,12,14,13614,7,1,0,1
A23889,Furniture,2008-07-11,160745,Straight-Line,6,4025.23,16,16,18052,3,9,16,0
A23890,Furniture,2020-01-16,145713,Declining Balance,9,83735.07,28,4,5845,15,7,59,0
A23891,Machine,2007-12-06,136720,Straight-Line,9,-70573.74,27,16,4313,7,3,29,1
A23892,Furniture,2023-11-11,63745,Straight-Line,6,60287.05,15,0,15199,12,3,83,1
A23893,Furniture,2010-04-11,45263,Declining Balance,19,-79424.78,14,14,14973,0,7,65,0
A23894,Vehicle,2020-05-31,172394,Declining Balance,20,22293.14,16,4,15397,7,1,35,1
A23895,Building,2020-07-29,27723,Declining Balance,5,21912.56,17,4,4233,11,10,76,0
A23896,Building,2020-11-30,43378,Declining Balance,20,9959.11,15,3,6589,6,6,38,0
A23897,Machine,2012-01-19,102260,Declining Balance,10,-27848.34,28,12,15709,11,7,97,0
A23898,Furniture,2009-06-26,218073,Straight-Line,18,-382123.64,16,15,13114,13,5,90,0
A23899,Building,2016-01-24,192860,Declining Balance,13,-25436.38,24,8,16231,7,5,14,0
A23900,Machine,2012-12-15,147826,Straight-Line,9,-9383.91,9,11,18333,12,3,55,1
A23901,Vehicle,2021-06-02,103742,Straight-Line,13,58590.07,7,3,18177,6,4,67,0
A23902,Machine,2014-12-05,119420,Straight-Line,15,-56912.63,22,9,14616,2,2,41,1
A23903,Building,2008-05-13,140399,Straight-Line,19,-297376.62,15,16,10864,1,1,13,1
A23904,Equipment,2022-01-31,173337,Declining Balance,15,103598.54,5,2,8075,10,6,42,0
A23905,Equipment,2015-06-25,25599,Declining Balance,19,-19587.79,10,9,2865,13,6,13,0
A23906,Machine,2013-07-21,53089,Declining Balance,17,-48165.54,22,11,9705,13,10,34,0
A23907,Machine,2016-08-15,223302,Straight-Line,9,59551.28,28,8,7310,9,4,32,0
A23908,Vehicle,2012-01-15,203991,Declining Balance,15,-185659.75,5,12,3980,9,5,100,1
A23909,Machine,2009-12-03,248211,Straight-Line,10,-120433.34,22,14,18909,11,2,82,1
A23910,Machine,2019-09-12,115913,Straight-Line,9,63009.04,27,5,2000,14,9,32,0
A23911,Machine,2012-05-15,133241,Straight-Line,18,-164218.62,7,12,9416,11,6,29,1
A23912,Machine,2011-01-18,88295,Straight-Line,14,-81376.54,14,13,17402,12,8,30,0
A23913,Equipment,2008-08-25,245907,Declining Balance,6,7976.82,30,16,7181,13,9,11,0
A23914,Machine,2019-08-10,59183,Declining Balance,8,34744.47,6,5,1939,3,1,11,1
A23915,Equipment,2017-07-09,139932,Declining Balance,6,79067.33,18,7,1452,2,7,18,0
A23916,Building,2023-04-10,32701,Declining Balance,20,22935.5,14,1,1043,4,4,30,0
A23917,Machine,2004-10-25,247075,Declining Balance,13,-394088.01,18,19,2236,14,2,99,1
A23918,Machine,2021-05-17,221228,Declining Balance,16,101170.9,15,3,19014,0,2,27,1
A23919,Building,2006-06-18,13321,Declining Balance,9,-8636.75,10,18,2027,0,5,0,1
A23920,Furniture,2009-01-09,28169,Straight-Line,16,-42819.97,28,15,15226,12,10,70,0
A23921,Machine,2005-08-18,128032,Declining Balance,5,5454.51,30,19,14940,0,9,32,0
A23922,Equipment,2009-11-26,51459,Straight-Line,12,-40372.05,23,14,18880,4,9,3,0
A23923,Machine,2011-01-15,234416,Declining Balance,14,-216317.8,29,13,6198,3,8,47,0
A23924,Furniture,2018-07-24,19298,Declining Balance,9,8515.44,30,6,8412,14,5,28,0
A23925,Machine,2013-12-23,224078,Declining Balance,18,-211308.62,25,10,16465,1,2,68,1
A23926,Vehicle,2024-01-17,152911,Declining Balance,12,139689.44,10,0,17930,13,4,57,0
A23927,Equipment,2008-04-01,61972,Straight-Line,11,-50684.61,28,16,4490,3,3,97,1
A23928,Building,2007-06-27,77494,Straight-Line,9,-43097.28,8,17,19611,7,7,64,1
A23929,Furniture,2020-12-09,34512,Declining Balance,5,27907.44,27,3,7548,12,7,21,0
A23930,Vehicle,2010-01-29,182741,Declining Balance,20,-354367.34,8,14,16262,6,10,18,1
A23931,Furniture,2014-08-13,130752,Straight-Line,6,51075.67,17,10,771,3,5,5,0
A23932,Furniture,2020-12-08,230605,Declining Balance,8,159945.1,30,3,17855,10,6,26,0
A23933,Furniture,2012-03-18,183568,Straight-Line,12,-93141.9,20,12,13800,4,1,87,1
A23934,Vehicle,2016-02-14,72498,Straight-Line,15,-21560.71,20,8,3738,9,4,3,0
A23935,Furniture,2022-03-07,176331,Declining Balance,6,148968.29,13,2,15409,11,9,63,0
A23936,Equipment,2012-06-12,204462,Straight-Line,17,-223972.72,27,12,11450,0,5,2,0
A23937,Vehicle,2011-05-11,170843,Straight-Line,14,-150051.64,11,13,1025,10,5,86,1
A23938,Building,2006-01-15,157335,Declining Balance,8,-78503.7,27,18,12808,10,9,5,0
A23939,Building,2012-07-31,223290,Declining Balance,9,-21717.25,23,12,12963,12,9,89,0
A23940,Building,2007-07-11,140997,Straight-Line,11,-126576.68,24,17,1398,11,2,17,1
A23941,Vehicle,2019-11-13,148478,Declining Balance,8,90258.35,14,4,8837,14,2,46,1
A23942,Vehicle,2009-02-05,249352,Declining Balance,20,-532451.91,16,15,8297,9,4,75,0
A23943,Vehicle,2010-02-25,218466,Declining Balance,17,-324580.62,6,14,7823,8,10,35,1
A23944,Vehicle,2020-07-14,154934,Straight-Line,6,115585.01,16,4,2423,0,8,20,0
A23945,Vehicle,2023-08-08,9767,Straight-Line,19,7606.22,17,1,8085,12,8,39,0
A23946,Vehicle,2009-02-10,173115,Declining Balance,19,-342070.5,28,15,175,2,7,76,0
A23947,Equipment,2019-05-16,150139,Declining Balance,18,4277.93,17,5,10521,9,3,32,1
A23948,Vehicle,2008-08-14,82737,Straight-Line,15,-117769.89,19,16,18777,1,2,74,1
A23949,Equipment,2021-09-16,196248,Straight-Line,13,118243.45,10,3,2711,2,3,91,1
A23950,Building,2007-10-04,11532,Declining Balance,11,-10057.17,8,17,13755,9,6,62,1
A23951,Building,2009-11-01,107794,Declining Balance,17,-165976.18,20,14,18888,13,8,97,0
A23952,Machine,2005-11-03,213722,Declining Balance,19,-555255.61,22,18,7163,3,7,42,0
A23953,Equipment,2022-06-16,77159,Declining Balance,20,41517.88,24,2,13547,6,7,38,0
A23954,Building,2020-08-09,153583,Straight-Line,18,38534.61,10,4,11827,0,2,90,1
A23955,Machine,2019-05-20,152428,Straight-Line,5,111376.84,13,5,5904,9,2,63,1
A23956,Building,2017-03-01,203603,Straight-Line,15,-28671.76,22,7,16132,10,8,35,0
A23957,Equipment,2019-04-12,23140,Straight-Line,10,10435.19,18,5,14006,12,9,41,0
A23958,Building,2008-01-12,106615,Straight-Line,15,-161178.51,21,16,811,15,9,18,0
A23959,Vehicle,2016-01-31,145608,Straight-Line,11,6458.61,28,8,4726,0,6,39,0
A23960,Furniture,2021-12-15,159442,Declining Balance,11,110141.66,22,2,13567,5,10,18,0
A23961,Building,2006-02-11,16689,Declining Balance,20,-45604.41,17,18,17454,5,7,77,1
